r_d,theta,repetition,kappa,genetic_entropy,phenotype_entropy,rectime
0.05,0.0,7,1.794213626412993,2.1530121218077,0.44082997812272773,79.0
0.05,0.0,8,1.7821280365892387,2.1346721392224723,0.44207716220868515,56.0
0.05,0.0,9,1.759320571099098,2.0919923895938393,0.4323443179041292,53.0
0.05,0.1,0,1.8351456651666567,2.17772378956768,0.4450944593952345,51.0
0.05,0.1,1,1.8266637527359064,2.2081648248508516,0.44108542516867455,64.0
0.05,0.1,2,1.821055014642767,2.1673228387097034,0.45139759956383363,70.0
0.05,0.1,3,1.7691603133934757,2.328516620704022,0.4752529402275699,71.0
0.05,0.1,4,1.743636153064579,2.214207859408295,0.4755446408170388,62.0
0.05,0.1,5,1.7551019312843046,2.370616602771185,0.4983003021835479,58.0
0.05,0.1,6,1.7582679798455252,2.3223885232738173,0.479716275995014,78.0
0.05,0.1,7,1.7343547234443992,2.281794697829407,0.4919500502928196,63.0
0.05,0.1,8,1.6709643635354292,2.4013334931435835,0.5204746797452288,72.0
0.05,0.1,9,1.8054371864860583,2.315580435562927,0.49751255372377967,63.0
0.05,0.2,0,1.6170198603242474,2.467045521082462,0.5750325396607515,69.0
0.05,0.2,1,1.8037875838280888,2.3295641484322895,0.5117539652395265,66.0
0.05,0.2,2,1.8121227417533416,2.4345252584446735,0.5391321786488467,81.0
0.05,0.2,3,1.6245960869223035,2.5186856134462254,0.5775900129361099,59.0
0.05,0.2,4,1.745485469972537,2.447571235975655,0.560443399074578,66.0
0.05,0.2,5,1.737359209539493,2.4326233603712515,0.5426051485965548,90.0
0.05,0.2,6,1.6979307680368458,2.4760390022362575,0.5494400897160179,97.0
0.05,0.2,7,1.728599344416608,2.44234014685687,0.569086248468598,69.0
0.05,0.2,8,1.8672170657836284,2.3764575839613817,0.503824692461984,76.0
0.05,0.2,9,1.759053263102907,2.450971356159637,0.5538157677096766,63.0
0.05,0.30000000000000004,0,1.9264312180908263,2.455266043222069,0.5615119814852181,77.0
0.05,0.30000000000000004,1,1.9727137353799795,2.389345580419706,0.5432986630731982,110.0
0.05,0.30000000000000004,2,1.8282109460583618,2.593081482667866,0.5897314495743584,67.0
0.05,0.30000000000000004,3,1.8562594346581547,2.5179647000077643,0.5936244895144465,70.0
0.05,0.30000000000000004,4,1.7287495457436797,2.627972383791064,0.6120679492636592,85.0
0.05,0.30000000000000004,5,1.7679241627890212,2.5960036364506407,0.6298246222135535,85.0
0.05,0.30000000000000004,6,1.8749395854566633,2.566624859300725,0.5725435873827063,75.0
0.05,0.30000000000000004,7,1.6894008199029726,2.6315858426213925,0.6147226076307478,83.0
0.05,0.30000000000000004,8,1.851644053477854,2.5147314513859107,0.5758145675824177,78.0
0.05,0.30000000000000004,9,1.895930391767944,2.5546865859044425,0.5815954286066287,80.0
0.05,0.4,0,1.9219417201673117,2.6301227740312063,0.6180278411705604,133.0
0.05,0.4,1,2.046104995824945,2.672655145606801,0.6161393515319518,94.0
0.05,0.4,2,2.0128612080408272,2.575744929324652,0.6198289874651366,128.0
0.05,0.4,3,2.0592978184502644,2.5831065687816652,0.5976062816286895,127.0
0.05,0.4,4,2.0388934529242175,2.5814756511554218,0.5970466213439737,128.0
0.05,0.4,5,2.0852601537772175,2.491038488149929,0.5871025733461082,124.0
0.05,0.4,6,2.109189308074903,2.5419711836472136,0.5877937182589134,84.0
0.05,0.4,7,2.0367018110225064,2.52224455462364,0.6008785558469679,103.0
0.05,0.4,8,2.0423213998327197,2.6037708257933385,0.5998152195987112,114.0
0.05,0.4,9,2.1164693326410458,2.426714558601981,0.5696911808999103,131.0
0.05,0.5,0,2.2235453510800167,2.6624740343405673,0.6405096357537499,160.0
0.05,0.5,1,2.2824476248997287,2.546017633685573,0.601584840507379,126.0
0.05,0.5,2,2.2199055832763106,2.529801141351588,0.6220087800807526,134.0
0.05,0.5,3,2.2750411368674492,2.6085011654018464,0.6117972991537561,176.0
0.05,0.5,4,2.2762989718181723,2.5558209517653943,0.612500775684306,143.0
0.05,0.5,5,2.248050581671894,2.551861994607216,0.6126720069153115,139.0
0.05,0.5,6,2.244893313401779,2.6278330305156734,0.6263933638286614,155.0
0.05,0.5,7,2.227823843007274,2.627743919133004,0.6308471877105507,118.0
0.05,0.5,8,2.294949995247616,2.555559508106912,0.6111295561044998,133.0
0.05,0.5,9,2.323871814439742,2.5332953986976747,0.5948950499688606,154.0
0.05,0.6000000000000001,0,2.458490201324638,2.6782551385798885,0.66618541147991,203.0
0.05,0.6000000000000001,1,2.432439707581952,2.76763785637097,0.6793916670834865,183.0
0.05,0.6000000000000001,2,2.453487091972309,2.718208219930907,0.6716007071494202,185.0
0.05,0.6000000000000001,3,2.406393429849729,2.68633623295439,0.6741529151322092,184.0
0.05,0.6000000000000001,4,2.4791831794810806,2.604377269222369,0.65780569380617,262.0
0.05,0.6000000000000001,5,2.334972412241001,2.779604992165914,0.6996196663173953,207.0
0.05,0.6000000000000001,6,2.4246339335412235,2.7136676571945726,0.6738285664440478,231.0
0.05,0.6000000000000001,7,2.3594132088206843,2.7697664634621986,0.6954460274792824,259.0
0.05,0.6000000000000001,8,2.489363097331206,2.735016732698565,0.6628634664475127,166.0
0.05,0.6000000000000001,9,2.4059831765268895,2.69051485711441,0.6692836181654824,182.0
0.05,0.7000000000000001,0,2.555019566136218,2.9202648236687687,0.7639504810084741,354.0
0.05,0.7000000000000001,1,2.4856799139518144,2.8884609622288075,0.7706255916617484,439.0
0.05,0.7000000000000001,2,2.364141624768815,2.905607696785762,0.787645201654147,194.0
0.05,0.7000000000000001,3,2.5021886903899735,2.9311556210453777,0.7723213531380904,376.0
0.05,0.7000000000000001,4,2.472803991375176,2.8615646032504434,0.7691702297989367,322.0
0.05,0.7000000000000001,5,2.5610000066183467,2.909768587123888,0.7613247346173377,356.0
0.05,0.7000000000000001,6,2.4996572288405186,2.894615507262868,0.7650816162137121,273.0
0.05,0.7000000000000001,7,2.4877113940639886,2.896353096086436,0.7698974853688987,291.0
0.05,0.7000000000000001,8,2.5348636605955597,2.9366747970767806,0.7690525768857328,248.0
